country,weekyear,count
Vanuatu,"(30, 2020)",7
Marshall Islands (the),"(53, 2020)",7
Kiribati,"(35, 2020)",7
Marshall Islands (the),"(15, 2021)",7
Marshall Islands (the),"(19, 2021)",6
Kiribati,"(19, 2021)",6
Kiribati,"(19, 2022)",6
Kiribati,"(41, 2021)",6
Kiribati,"(51, 2020)",6
Marshall Islands (the),"(21, 2021)",6
Palau,"(51, 2020)",6
Nauru,"(22, 2021)",6
Kiribati,"(2, 2021)",6
Marshall Islands (the),"(35, 2020)",6
Micronesia (Federated States of),"(19, 2021)",6
Micronesia (Federated States of),"(16, 2020)",6
Palau,"(45, 2020)",6
Palau,"(7, 2021)",6
Tonga,"(4, 2022)",6
Vanuatu,"(27, 2020)",6
Kiribati,"(9, 2022)",6
Kiribati,"(5, 2022)",6
Kiribati,"(4, 2021)",6
Tonga,"(41, 2020)",6
Kiribati,"(15, 2022)",5
Palau,"(1, 2021)",5
Micronesia (Federated States of),"(42, 2020)",5
Marshall Islands (the),"(6, 2021)",5
Nauru,"(42, 2020)",5
Micronesia (Federated States of),"(15, 2021)",5
Marshall Islands (the),"(15, 2020)",5
Kiribati,"(47, 2020)",5
Tuvalu,"(11, 2021)",5
Nauru,"(17, 2022)",5
Marshall Islands (the),"(21, 2020)",5
Tuvalu,"(47, 2020)",5
Micronesia (Federated States of),"(9, 2021)",5
Micronesia (Federated States of),"(38, 2020)",5
Micronesia (Federated States of),"(35, 2020)",5
Micronesia (Federated States of),"(20, 2020)",5
Kiribati,"(16, 2021)",5
Kiribati,"(17, 2022)",5
Micronesia (Federated States of),"(17, 2021)",5
Kiribati,"(15, 2020)",5
Solomon Islands,"(17, 2020)",5
Tonga,"(52, 2021)",5
Marshall Islands (the),"(25, 2020)",5
Micronesia (Federated States of),"(24, 2020)",5
Kiribati,"(10, 2021)",5
Kiribati,"(42, 2020)",5
Micronesia (Federated States of),"(29, 2020)",5
Nauru,"(10, 2021)",4
Nauru,"(13, 2021)",4
Nauru,"(21, 2020)",4
Nauru,"(6, 2021)",4
Nauru,"(15, 2020)",4
Micronesia (Federated States of),"(27, 2020)",4
Nauru,"(18, 2021)",4
Tuvalu,"(48, 2021)",4
Tuvalu,"(53, 2020)",4
Samoa,"(18, 2020)",4
Nauru,"(23, 2020)",4
Tuvalu,"(42, 2020)",4
Samoa,"(15, 2022)",4
Samoa,"(6, 2022)",4
Palau,"(41, 2020)",4
Palau,"(38, 2020)",4
Palau,"(35, 2020)",4
Palau,"(31, 2020)",4
Palau,"(24, 2020)",4
Palau,"(22, 2021)",4
Palau,"(21, 2020)",4
Palau,"(9, 2021)",4
Nauru,"(47, 2020)",4
Nauru,"(45, 2020)",4
Nauru,"(35, 2020)",4
Nauru,"(31, 2020)",4
Tuvalu,"(3, 2021)",4
Nauru,"(28, 2021)",4
Nauru,"(24, 2021)",4
Nauru,"(29, 2020)",4
Nauru,"(19, 2020)",4
Marshall Islands (the),"(10, 2021)",4
Marshall Islands (the),"(2, 2021)",4
Kiribati,"(13, 2021)",4
Marshall Islands (the),"(45, 2020)",4
Kiribati,"(19, 2020)",4
Kiribati,"(11, 2022)",4
Marshall Islands (the),"(47, 2020)",4
Marshall Islands (the),"(43, 2020)",4
Marshall Islands (the),"(39, 2020)",4
Marshall Islands (the),"(51, 2020)",4
Kiribati,"(39, 2020)",4
Kiribati,"(7, 2022)",4
Kiribati,"(48, 2021)",4
Marshall Islands (the),"(30, 2020)",4
Palau,"(47, 2020)",3
Palau,"(39, 2020)",3
Palau,"(36, 2020)",3
Nauru,"(28, 2020)",3
Nauru,"(27, 2021)",3
Palau,"(37, 2020)",3
Nauru,"(18, 2020)",3
Marshall Islands (the),"(25, 2021)",3
Marshall Islands (the),"(27, 2021)",3
Marshall Islands (the),"(23, 2021)",3
Samoa,"(5, 2022)",3
Nauru,"(22, 2020)",3
Nauru,"(20, 2020)",3
Palau,"(42, 2020)",3
Palau,"(12, 2021)",3
Nauru,"(29, 2021)",3
Palau,"(24, 2021)",3
Kiribati,"(43, 2021)",3
Palau,"(21, 2021)",3
Nauru,"(50, 2020)",3
Palau,"(22, 2020)",3
Nauru,"(48, 2020)",3
Nauru,"(46, 2020)",3
Nauru,"(44, 2020)",3
Palau,"(25, 2020)",3
Nauru,"(30, 2020)",3
Nauru,"(38, 2020)",3
Kiribati,"(40, 2020)",3
Marshall Islands (the),"(9, 2021)",3
Nauru,"(34, 2020)",3
Palau,"(32, 2020)",3
Palau,"(34, 2020)",3
Kiribati,"(18, 2020)",3
Nauru,"(17, 2021)",3
Samoa,"(17, 2020)",3
Marshall Islands (the),"(44, 2020)",3
Marshall Islands (the),"(42, 2020)",3
Vanuatu,"(16, 2020)",3
Tuvalu,"(50, 2021)",3
Tuvalu,"(49, 2021)",3
Micronesia (Federated States of),"(3, 2021)",3
Tuvalu,"(47, 2021)",3
Tuvalu,"(12, 2022)",3
Marshall Islands (the),"(50, 2020)",3
Tuvalu,"(2, 2021)",3
Tuvalu,"(1, 2021)",3
Marshall Islands (the),"(46, 2020)",3
Tonga,"(16, 2020)",3
Micronesia (Federated States of),"(32, 2020)",3
Nauru,"(16, 2021)",3
Kiribati,"(47, 2021)",3
Samoa,"(21, 2021)",3
Marshall Islands (the),"(31, 2020)",3
Nauru,"(2, 2021)",3
Nauru,"(11, 2021)",3
Nauru,"(3, 2020)",3
Marshall Islands (the),"(38, 2020)",3
Nauru,"(9, 2021)",3
Samoa,"(52, 2020)",3
Nauru,"(7, 2021)",3
Solomon Islands,"(18, 2020)",2
Kiribati,"(48, 2020)",2
Kiribati,"(15, 2021)",2
Tuvalu,"(48, 2020)",2
Kiribati,"(43, 2020)",2
Tuvalu,"(12, 2021)",2
Palau,"(27, 2021)",2
Kiribati,"(9, 2021)",2
Solomon Islands,"(22, 2020)",2
Tonga,"(52, 2020)",2
Solomon Islands,"(2, 2021)",2
Tonga,"(17, 2020)",2
Tonga,"(15, 2020)",2
Solomon Islands,"(15, 2020)",2
Tonga,"(1, 2022)",2
Solomon Islands,"(40, 2020)",2
Kiribati,"(14, 2020)",2
Kiribati,"(16, 2022)",2
Micronesia (Federated States of),"(8, 2021)",2
Micronesia (Federated States of),"(48, 2020)",2
Micronesia (Federated States of),"(23, 2021)",2
Nauru,"(20, 2021)",2
Micronesia (Federated States of),"(19, 2020)",2
Micronesia (Federated States of),"(31, 2020)",2
Nauru,"(16, 2022)",2
Nauru,"(14, 2020)",2
Nauru,"(8, 2021)",2
Micronesia (Federated States of),"(23, 2020)",2
Micronesia (Federated States of),"(25, 2020)",2
Marshall Islands (the),"(22, 2020)",2
Nauru,"(5, 2021)",2
Micronesia (Federated States of),"(52, 2020)",2
Palau,"(2, 2021)",2
Micronesia (Federated States of),"(41, 2020)",2
Micronesia (Federated States of),"(37, 2020)",2
Micronesia (Federated States of),"(34, 2020)",2
Micronesia (Federated States of),"(28, 2020)",2
Micronesia (Federated States of),"(2, 2021)",2
Marshall Islands (the),"(26, 2020)",2
Micronesia (Federated States of),"(14, 2021)",2
Marshall Islands (the),"(14, 2020)",2
Nauru,"(52, 2020)",2
Nauru,"(43, 2020)",2
Marshall Islands (the),"(7, 2021)",2
Nauru,"(39, 2020)",2
Nauru,"(37, 2020)",2
Nauru,"(33, 2020)",2
Nauru,"(32, 2021)",2
Micronesia (Federated States of),"(30, 2020)",2
Marshall Islands (the),"(16, 2020)",2
Micronesia (Federated States of),"(18, 2021)",1
Tonga,"(36, 2020)",1
Vanuatu,"(28, 2020)",1
Kiribati,"(3, 2021)",1
Tonga,"(18, 2020)",1
Micronesia (Federated States of),"(4, 2021)",1
Vanuatu,"(17, 2020)",1
Tonga,"(22, 2020)",1
Tonga,"(27, 2021)",1
Tonga,"(31, 2020)",1
Tonga,"(31, 2021)",1
Micronesia (Federated States of),"(11, 2021)",1
Tonga,"(35, 2021)",1
Vanuatu,"(15, 2020)",1
Micronesia (Federated States of),"(26, 2020)",1
Kiribati,"(8, 2022)",1
Kiribati,"(5, 2021)",1
Tonga,"(42, 2020)",1
Tonga,"(45, 2020)",1
Tonga,"(48, 2020)",1
Tuvalu,"(49, 2020)",1
Kiribati,"(10, 2022)",1
Micronesia (Federated States of),"(16, 2021)",1
Kiribati,"(6, 2022)",1
Micronesia (Federated States of),"(15, 2020)",1
Micronesia (Federated States of),"(22, 2021)",1
Tuvalu,"(13, 2022)",1
Tuvalu,"(4, 2020)",1
Kiribati,"(6, 2021)",1
Palau,"(8, 2021)",1
Tonga,"(13, 2022)",1
Kiribati,"(37, 2020)",1
Kiribati,"(18, 2021)",1
Palau,"(50, 2020)",1
Palau,"(46, 2020)",1
Kiribati,"(18, 2022)",1
Palau,"(44, 2020)",1
Nauru,"(21, 2021)",1
Nauru,"(23, 2021)",1
Marshall Islands (the),"(20, 2021)",1
Tonga,"(5, 2022)",1
Kiribati,"(42, 2021)",1
Palau,"(23, 2021)",1
Kiribati,"(50, 2020)",1
Nauru,"(49, 2020)",1
Nauru,"(51, 2020)",1
Micronesia (Federated States of),"(5, 2021)",1
Palau,"(10, 2021)",1
Samoa,"(3, 2022)",1
Nauru,"(17, 2020)",1
Samoa,"(7, 2022)",1
Marshall Islands (the),"(36, 2020)",1
Tonga,"(3, 2021)",1
Solomon Islands,"(35, 2020)",1
Solomon Islands,"(33, 2020)",1
Solomon Islands,"(25, 2020)",1
Solomon Islands,"(24, 2020)",1
Solomon Islands,"(20, 2020)",1
Nauru,"(1, 2022)",1
Nauru,"(2, 2020)",1
Nauru,"(5, 2022)",1
Samoa,"(45, 2020)",1
Samoa,"(44, 2021)",1
Samoa,"(34, 2021)",1
Samoa,"(32, 2020)",1
Samoa,"(28, 2021)",1
Samoa,"(22, 2021)",1
Kiribati,"(1, 2021)",1
